Class,labels,text,texts
#โรคซึมเศร้า,1,ลบบัญชีเฟสลบบัญชีไอจีสร้างใหม่มีแค่ลบบัญชีไลน์สร้างใหม่มีแค่ครอบครัวเราตัดขาดจากเพื่อนทุกคนเพราะเรากลัวกล้วอะไรไม่รู้รู้แค่ว่ามันไม่ปลอดภัยถามว่ารักเพื่อนมั้ยเรารักมากนะแต่นั้นแหละโรคซึมเศร้า,"ลบ,บัญชี,เฟส,ลบ,บัญชี,ไอ,จี,สร้าง,ลบ,บัญชี,ไลน์,สร้าง,ครอบครัว,ตัดขาด,เพื่อน,กลัว,กล้ว,รู้,รู้,ปลอดภัย,ถาม,รัก,เพื่อน,รัก,นั้นแหละ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ช่วยมาบอกวิธีการฆ่าตัวตายเเบบตายในทันทีหน่อยไม่ก็ตายแบบเร็วที่สุดเลยโรคซึมเศร้า,"วิธี,การฆ่าตัวตาย,เเบบ,ตาย,ในทันที,ตาย,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ไม่เกรนก็มากินยาก็ไม่ได้หมอห้ามกินยาแก้ปวดพาราไม่เคยช่วยอะไรฉันเลยโรคซึมเศร้า,"เกรน,กิน,ยา,หมอ,ห้าม,กิน,ยาแก้ปวด,พารา,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ยิ้มให้คนทั้งโลกร้องให้กับตัวเองท่อนนี้เเมร่งใครไม่มาอยู่จุดๆนี้ไม่มีวันเข้าใจหรอกเศร้าโรคซึมเศร้า,"ยิ้ม,คน,ทั้งโลก,ร้อง,ตัวเอง,ท่อน,เ,เม,ร่ง,จุด,หรอก,เศร้า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เราทำธีสิสเรื่องละครที่เกี่ยวกับโรคซึมเศร้าอยากรบกวนขอคำตอบความคิดเห็นเพิ่มเติมจากผู้มีอายุปีที่รับชมละครเรื่องนี้รบกวนช่วยกรอกแบบฟอร์มให้เราหน่อยนะคะแบบฟอร์มจะปิดรับคำตอบในวันที่สิงหาคมเวลานค่ะ,"ทำ,ธี,สิ,ส,เรื่อง,ละคร,โรค,ซึมเศร้า,รบกวน,คำตอบ,ความคิดเห็น,ผู้มีอายุ,ปี,ชม,ละคร,เรื่อง,รบกวน,กรอก,แบบฟอร์ม,นะคะ,แบบฟอร์ม,คำตอบ,วันที่,สิงหาคม,เวลา,น"
#โรคซึมเศร้า,1,ตายสักทีเถอะโรคซึมเศร้า,"ตาย,สักที,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,การที่ทุกวันนี้เลือกที่จะถอยห่างจากคนรอบข้างไม่ใช่ว่าไม่รักพวกเขาแต่ความจริงแล้วการอยู่คนเดียวมันคือเซฟโซนของเราการที่ไม่มีใครเข้าใจในตัวเรามันไม่ได้ง่ายเลยกับการใช้ชีวิตในตอนนี้มันแย่จนไม่อยากอยู่ต่ออีกเลยเหนื่อยจังโรคซึมเศร้าเพราะรักตัวเอง,"เลือก,ที่จะ,ถอยห่าง,คน,รอบข้าง,รัก,ความจริง,คนเดียว,เซฟ,โซน,ตัวเรา,ใช้ชีวิต,ตอนนี้,แย่,เหนื่อย,โรค,ซึมเศร้า,รัก,ตัวเอง"
#โรคซึมเศร้า,1,หลับตาไปแบบไม่ต้องตื่นทิ้งทุกอย่างเอาไว้ตรงนี้โรคซึมเศร้า,"หลับตา,ไม่ต้อง,ตื่น,ทิ้ง,เอาไว้,ตรงนี้,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เหนื่อยจังโรคซึมเศร้า,"เหนื่อย,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ถึงดูเหมือนไม่รู้สึกแต่ในใจโครตแตกสลายเลยนะถ้าเป็นไปได้ก็ไม่อยากรู้สึกอะไรแล้วเหมือนกันเธรดเธรดเศร้าเธรดคําพูดเธรดรวมเธรดคนใจร้ายเธรดซึมเศร้าโรคซึมเศร้าเธรดความรู้สึกเธรดคลั่งน้ำตาเธรดหนังสือเธรดปัญหาชีวิต,"ดูเหมือน,รู้สึก,ใจ,โค,รต,แตกสลาย,เป็นไปได้,รู้สึก,เหมือนกัน,เธรดเธรด,เศร้า,เธรดคํา,เธรด,เธรด,คนใจร้าย,เธรด,ซึมเศร้า,โรค,ซึมเศร้า,เธรด,ความรู้สึก,เธรด,คลั่ง,น้ำตา,เธรด,หนังสือ,เธรด,ปัญหา,ชีวิต"
#โรคซึมเศร้า,1,ก็รู้นะว่าไม่ได้แคร์ความรู้สึกกันแต่ไม่คิดว่ามันจะไม่แคร์กันขนาดนี้ไงเธรดเธรดเศร้าเธรดคําพูดเธรดรวมเธรดคนใจร้ายเธรดซึมเศร้าโรคซึมเศร้าเธรดความรู้สึกเธรดคลั่งน้ำตาเธรดหนังสือเธรดปัญหาชีวิต,"รู้,ว่าไม่ได้,แคร์,ความรู้สึก,แคร์,ขนาด,เธรดเธรด,เศร้า,เธรดคํา,เธรด,เธรด,คนใจร้าย,เธรด,ซึมเศร้า,โรค,ซึมเศร้า,เธรด,ความรู้สึก,เธรด,คลั่ง,น้ำตา,เธรด,หนังสือ,เธรด,ปัญหา,ชีวิต"
#โรคซึมเศร้า,1,โรคซึมเศร้า,"โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ไม่ได้อยากตายแต่ไม่อยากอยู่ร้องไห้กับเรื่องเล็กๆน้อยๆแค่เห็นเค้าทำท่าไม่พอใจเราแค่นี้ถึงกับต้องร้องไห้ขนาดนี้เลยหรอทำไมถึงต้องรู้สึกอะไรกับเรื่องแค่นี้พยายามไม่คิดพยายามทุกอย่างแต่กลายเป็นว่าตอนนี้ไม่อยากอยู่แล้วแต่ก็ไม่ได้อยากฆ่าตัวตายเราควรต้องทำยังไงโรคซึมเศร้า,"ตาย,ร้องไห้,เรื่องเล็ก,เค้า,ทำท่า,พอใจ,ถึงกับ,ร้องไห้,ขนาด,หรอ,รู้สึก,เรื่อง,กลายเป็น,ตอนนี้,ฆ่าตัวตาย,ทำ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,หวังว่าโตขึ้นไปเราจะไม่เป็นผู้ใหญ่แบบเขาผู้ใหญ่ที่ต้องอยู่อย่างโดดเดี่ยวเดียวดาย,"หวัง,ขึ้นไป,เป็นผู้ใหญ่,ผู้ใหญ่,โดดเดี่ยวเดียวดาย"
#โรคซึมเศร้า,1,เราเลือกเกิดไม่ได้แต่เราเลือกตอนจบของชีวิตได้โรคซึมเศร้า,"เลือก,เลือก,ตอนจบ,ชีวิต,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,แต่ผมกำลังจะเป็นผู้ใหญ่แบบเขาโรคซึมเศร้า,"ผม,เป็นผู้ใหญ่,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,บางเรื่องเราก็เลือกที่จะไม่เล่าให้ใครฟังไม่ใช่ว่าไม่อยากเล่าแต่คิดว่าการเก็บเงียบย่อมดีกว่าหรือบางทีก็เหนื่อยที่จะเล่าโรคซึมเศร้า,"เรื่อง,เลือก,ที่จะ,เล่า,ฟัง,เล่า,ว่าการ,เงียบ,ดีกว่า,เหนื่อย,ที่จะ,เล่า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,รบกวนเวลาทุกคนที่ผ่านมาเจอร่วมเป็นส่วนหนึ่งที่ทำให้เราจบปโทฝากกดๆแบบสอบถามเกี่ยวกับบริการปรึกษาปัญหาสุขภาพจิตทางออนไลน์ค่ะใช้เวลาไม่นานแน่นอนขอบคุณทุกคนมากๆค่าาซึมเศร้าโรคซึมเศร้าจิตแพทย์แบบสอบถาม,"รบกวน,เวลา,ที่ผ่านมา,เจอ,ส่วนหนึ่ง,จบ,ป,โท,ฝาก,กด,แบบสอบถาม,บริการ,ปรึกษา,ปัญหา,สุขภาพจิต,ออนไลน์,ใช้เวลา,แน่นอน,ขอบคุณ,ค่า,า,ซึมเศร้า,โรค,ซึมเศร้า,จิตแพทย์,แบบสอบถาม"
#โรคซึมเศร้า,1,ฉันไม่อยากเป็นภาระใครด้วยซ้ำโรคซึมเศร้า,"ภาระ,ด้วยซ้ำ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ไม่มีใครอยากโดนทำร้ายด้วยคำพูดหรอกนะคุณรู้มั้ยบางทีคำพูดของคุณมันสามารถทำให้เราคิดสั้นขาดสติไปได้ในชั่ววูบเลยนะคุณอาจจะมองว่าคำพูดมันไม่ได้แรงขนาดนั้นแต่สำหรับเราคำพูดของคุณมันกำลังฆ่าเราทางอ้อมเลยหละโรคซึมเศร้าครอบครัวไม่ใช่เซฟโซน,"โดน,ทำร้าย,คำพูด,หรอก,รู้,คำพูด,คิดสั้น,ขาดสติ,ชั่ววูบ,คำพูด,ได้แรง,ขนาด,สำหรับ,คำพูด,ฆ่า,ทางอ้อม,หละ,โรค,ซึมเศร้า,ครอบครัว,เซฟ,โซน"
#โรคซึมเศร้า,1,โรคซึมเศร้า,"โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,มันก็น่าสงสารมากนะขนาดร้องไห้ยังไม่มีใครรู้ใครมาเห็นใจเลยโรคซึมเศร้า,"น่าสงสาร,ขนาด,ร้องไห้,รู้,เห็นใจ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ใครไม่รักก็ช่างแม่งเหอะเหนื่อยจะตายห่าอยู่ละโรคซึมเศร้า,"รัก,ก็ช่าง,แม่,ง,เหอะ,เหนื่อย,ตายห่า,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,กลายเป็นคนที่เป็นโรคซึมเศร้าแล้วขาดยาไม่ได้แล้วหลอพอขาดยาแล้วอาการออกจนคนรอบข้างสังเกตเห็นได้ชัดฉันเบื่อตัวเองจัง,"กลายเป็น,คน,เป็นโรค,ซึมเศร้า,ยา,หลอ,ยา,อาการ,คน,รอบข้าง,สังเกต,เห็นได้ชัด,เบื่อ,ตัวเอง"
#โรคซึมเศร้า,1,ประเด็นคืออยากตายแต่ตายไม่ได้ได้แต่ภาวนาโง่ๆว่าขอให้ไม่ตื่นขึ้นมาอีกแต่ก็ไม่มีหวังต้องตื่นทุกเช้าเพื่อไปเจออะไรเดิมๆเบื่อใจมากหัวเราะทั้งน้ำตาแล้วก็บอกเพดานว่าฝันดีโรคซึมเศร้า,"ประเด็น,ตาย,ตาย,ภาวนา,โง่,ขอให้,ตื่นขึ้น,มีหวัง,ตื่น,เช้า,เจอ,เดิม,เบื่อ,ใจ,หัวเราะ,น้ำตา,แล้วก็,เพดาน,ฝันดี,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,การกินยาจิตเวชของฉันมันทรมาณมากเลยนะมันทำให้ฉันพูดไม่รู้เรื่องมากขึ้นเฉื่อยช้าประมวลผลช้ากว่าเดิมติดขัดทุกกิจกรรมง่วงตลอดทั้งวันไม่มีประสิทธิภาพในทำงานหรืออะไรใดๆเลยโรคซึมเศร้า,"กิน,ยา,จิตเวช,ทรมาณ,พูดไม่รู้เรื่อง,มากขึ้น,เฉื่อย,ประมวลผล,เดิม,ติดขัด,กิจกรรม,ง่วง,ทั้งวัน,มีประสิทธิภาพ,ทำงาน,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,ต้องสร้างภาพเป็นคนแข็งแรงเข้มแข็งแม่งคือโคตรเหนื่อยอ่ะโรคซึมเศร้า,"สร้างภาพ,คน,แข็งแรง,เข้มแข็ง,แม่,ง,โคตร,เหนื่อย,อ่ะ,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,พระเจ้าไม่เคยให้ความตายกับคนที่อยากตายโรคซึมเศร้า,"พระเจ้า,ความตาย,คน,ตาย,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,เเค่อยากมีความสุขทำไมมันยากจังเลยโรคซึมเศร้า,"เเค่,มีความสุข,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,สุดท้ายแล้วเค้าก็มองว่าเราแค่คนที่เรียกร้องความสนใจคนหนึ่งโรคซึมเศร้า,"สุดท้าย,เค้า,คน,เรียกร้อง,ความสนใจ,คน,โรค,ซึมเศร้า"
#โรคซึมเศร้า,1,แกว่าคนที่เลือกที่จะจากโลกนี้ไปเขามีความสุขดีใช่ไหมโรคซึมเศร้าซึมเศร้า,"คน,เลือก,ที่จะ,โลก,มีความสุข,ดี,โรค,ซึมเศร้า,ซึมเศร้า"
#โรคซึมเศร้า,1,ชอบประโยคนึงที่ว่าน่าเศร้าทุกครั้งที่มีข่าวการฆ่าตัวตายภาวะซึมเศร้าสุขภาพทางจิตอะไรแบบนี้แล้วจะมีคำพูดนึงในข่าวที่จุกอกมากก็คือโดยปกติแล้วผู้ตายเป็นคนร่าเริงโรคซึมเศร้า,"ชอบ,ประโยค,นึง,น่าเศร้า,ทุกครั้งที่,ข่าว,การฆ่าตัวตาย,ภาวะ,ซึมเศร้า,สุขภาพ,ทางจิต,แบบนี้,แล้,วจะ,คำพูด,นึง,ข่าว,จุ,กอก,โดยปกติ,ผู้ตาย,คน,ร่าเริง,โรค,ซึมเศร้า"
